,cand_id,country,endMonth,endYear,name,startMonth,startYear
1,3468.0,,Present,2005,b'Peking University',,2002.0
2,3468.0,,Present,2000,b'Jilin University',,1996.0
0,3469.0,,Present,Present,b'Simon Fraser University',,
1,3469.0,,Present,Present,b'Northwestern Polytechnical University',,
2,3469.0,,Present,Present,b'Northwestern Polytechnic University (CN)',,
3,3469.0,,Present,2014,b'Simon Fraser University',,2012.0
0,3470.0,,Present,Present,b'British Columbia Institute of Technology',,
1,3470.0,,Present,Present,b'Hongik University',,
2,3470.0,,Present,2005,b'British Columbia Institute of Technology',,2003.0
3,3470.0,,Present,1995,b'Hongik University',,1988.0
0,3472.0,,Present,Present,b'The University of British Columbia',,
1,3472.0,,Present,2009,b'The University of British Columbia',,2005.0
0,3473.0,,Present,Present,b'University of York',,
1,3473.0,,Present,1999,b'University of York',,1996.0
0,3474.0,,Present,Present,b'Beijing Institute of Technology',,
1,3474.0,,Present,Present,b'Nanjing University of Science and Technology',,
2,3474.0,,Present,1997,b'Nanjing University of Science and Technology',,1993.0
3,3474.0,,Present,2000,b'Beijing Institute of Technology',,1997.0
0,3475.0,,Present,Present,b'Universidad de Granada',,
1,3475.0,,Present,2006,b'Universidad de Granada',,2000.0
0,3476.0,,Present,Present,b'University of Victoria',,
1,3476.0,,Present,2000,b'Vancouver College',,1995.0
2,3476.0,,Present,2006,b'University of Victoria',,2000.0
0,3477.0,,Present,Present,b'University of Manitoba',,
1,3477.0,,Present,Present,b'Glenlawn Collegiate',,
2,3477.0,,Present,2004,b'University of Manitoba',,1999.0
0,3480.0,,Present,Present,b'The University of British Columbia',,
1,3480.0,,Present,Present,b'Hamdard University',,
2,3480.0,,Present,2009,b'UBC',,2009.0
3,3480.0,,Present,2003,b'Hamdard University',,1999.0
0,3481.0,,Present,Present,b'Jerusalem College of Engineering',,
1,3481.0,,Present,2004,b'Jerusalem College of Engineering',,2000.0
0,3483.0,,Present,Present,b'Simon Fraser University',,
1,3483.0,,Present,1999,b'Simon Fraser University',,1995.0
2,3483.0,,Present,2003,b'Simon Fraser University',,2001.0
0,3484.0,,Present,Present,b'Technical University of St. Petersburg',,
0,3485.0,,Present,Present,b'The Faculty of Engineering at Lund University',,
1,3485.0,,Present,2006,b'The Faculty of Engineering at Lund University',,1999.0
0,3488.0,,Present,Present,b'Beijing Institute of Technology',,
1,3488.0,,Present,1996,b'Beijing Institute of Technology',,1992.0
0,3490.0,,Present,Present,b'The University of British Columbia',,
1,3490.0,,Present,Present,b'Langara College',,
2,3490.0,,Present,2003,b'The University of British Columbia',,1999.0
3,3490.0,,Present,2011,b'Langara College',,2010.0
0,3491.0,,Present,Present,b'Beijing Normal University',,
1,3491.0,,Present,Present,b'University of Electronic Science and Technology',,
2,3491.0,,Present,1996,b'Beijing Normal University',,1992.0
3,3491.0,,Present,2000,b'University of Electronic Science and Technology',,1997.0
0,3492.0,,Present,Present,b'The University of British Columbia',,
1,3492.0,,Present,Present,b'The University of British Columbia',,
0,3495.0,,Present,Present,b'Simon Fraser University',,
1,3495.0,,Present,2001,b'Simon Fraser University',,1997.0
0,3496.0,,Present,Present,b'Victoria University of Wellington',,
1,3496.0,,Present,1999,b'Victoria University of Wellington',,1997.0
0,3498.0,,Present,Present,b'University of Northern British Columbia',,
1,3498.0,,Present,2006,b'University of Northern British Columbia',,2001.0
2,3498.0,,Present,2001,b'University of Northern British Columbia',,1996.0
0,3500.0,,Present,Present,b'The University of British Columbia',,
1,3500.0,,Present,2005,b'The University of British Columbia',,2001.0
0,3501.0,,Present,Present,b'University of Victoria',,
1,3501.0,,Present,2005,b'RCC Institute of Technology',,2003.0
2,3501.0,,Present,2009,b'University of Victoria',,2007.0
0,3503.0,,Present,Present,b'British Columbia Institute of Technology',,
1,3503.0,,Present,2012,b'British Columbia Institute of Technology',,
0,3504.0,,Present,Present,b'British Columbia Institute of Technology',,
1,3504.0,,Present,Present,b'The National Technical University of Ukraine',,
2,3504.0,,Present,2005,b'British Columbia Institute of Technology',,2004.0
0,3507.0,,Present,Present,b'Simon Fraser University',,
1,3507.0,,Present,2012,b'Simon Fraser University',,2010.0
0,3510.0,,Present,Present,b'The University of British Columbia',,
1,3510.0,,Present,Present,b'University of Belgrade',,
2,3510.0,,Present,1997,b'Univerzitet u Beogradu / University of Belgrade',,1994.0
3,3510.0,,Present,1992,"b'SSC Tono Hrovat - Velika Kladusa, BiH'",,1988.0
4,3510.0,,Present,2002,b'The University of British Columbia / UBC',,1999.0
0,3511.0,,Present,Present,b'Simon Fraser University',,
1,3511.0,,Present,Present,b'Coursera',,2012.0
2,3511.0,,4,2000,b'Simon Fraser University',9.0,1995.0
3,3511.0,,Present,2006,b'Sun Microsystems',,2006.0
0,3516.0,,Present,Present,b'British Columbia Institute of Technology',,
1,3516.0,,Present,2010,b'British Columbia Institute of Technology',,2009.0
2,3516.0,,Present,2008,b'British Columbia Institute of Technology',,2006.0
0,3518.0,,Present,Present,b'Islamic Azad University',,
1,3518.0,,Present,Present,b'Simon Fraser University',,
2,3518.0,,Present,2012,b'Simon Fraser University',,2011.0
3,3518.0,,Present,2005,b'Islamic Azad University',,2000.0
0,3521.0,,Present,1992,b'Technical University of Cluj-Napoca',,1987.0
0,3527.0,,Present,Present,b'The University of British Columbia',,
1,3527.0,,Present,2000,b'The University of British Columbia',,1996.0
0,3533.0,,Present,Present,b'Simon Fraser University',,
1,3533.0,,Present,Present,b'British Columbia Institute of Technology',,
2,3533.0,,Present,2010,b'ExitCertified/SpringSource University',,2010.0
3,3533.0,,Present,2010,b'British Columbia Institute of Technology',,2009.0
4,3533.0,,Present,2005,b'Simon Fraser University',,1998.0
0,3534.0,,Present,Present,b'The University of British Columbia',,
1,3534.0,,Present,2009,b'The University of British Columbia',,2007.0
2,3534.0,,Present,2006,b'The University of British Columbia',,2002.0
0,3535.0,,Present,Present,b'University of York',,
1,3535.0,,Present,1991,b'Stand College',,1989.0
2,3535.0,,Present,1994,b'University of York',,1991.0
0,3537.0,,Present,Present,b'The University of British Columbia',,
1,3537.0,,Present,Present,"b'National Institute of Technology (REC) Warangal, India'",,
2,3537.0,,Present,2005,b'The University of British Columbia',,2003.0
3,3537.0,,Present,Present,b'The University of British Columbia',,
0,3538.0,,Present,Present,b'Pontificia Universidad Cat\xc3\x83\xc2\xb3lica de Chile',,
1,3538.0,,Present,Present,b'University of Calgary',,
2,3538.0,,Present,Present,b'Technische Universit\xc3\x83\xc2\xa4t Berlin',,
3,3538.0,,Present,2007,b'Pontificia Universidad Cat\xc3\x83\xc2\xb3lica de Chile',,2007.0
4,3538.0,,Present,2010,b'Technische Universit\xc3\x83\xc2\xa4t Berlin',,2004.0
5,3538.0,,Present,2009,b'The University of Calgary',,2008.0
0,3539.0,,Present,Present,b'The University of British Columbia',,
1,3539.0,,Present,2004,b'The University of British Columbia',,1999.0
0,3540.0,,Present,Present,b'The University of British Columbia',,
1,3540.0,,Present,2007,b'The University of British Columbia',,2004.0
2,3540.0,,Present,2004,b'Capilano College',,2000.0
0,3541.0,,Present,Present,b'The University of British Columbia',,
1,3541.0,,Present,1991,b'The University of British Columbia',,1986.0
0,3542.0,,Present,Present,b'Acadia University',,
1,3542.0,,Present,1985,b'Acadia University',,1980.0
0,3543.0,,Present,Present,b'The University of British Columbia',,
1,3543.0,,Present,Present,b'University of Waterloo',,
2,3543.0,,Present,2004,b'University of Waterloo',,2002.0
3,3543.0,,Present,2002,b'The University of British Columbia',,1997.0
0,3544.0,,Present,Present,b'Pierre and Marie Curie University',,
