,cand_id,country,endMonth,endYear,locationName,name,startMonth,startYear
4,879.0,,8,2013,"San Carlos, Ca",MarkLogic,7.0,2011.0
0,880.0,,Present,1990,,University of Illinois at Urbana-Champaign,,1984.0
1,880.0,,Present,Present,,MITRE,7.0,2015.0
2,880.0,,7,2015,,The MITRE Corporation,1.0,2000.0
3,880.0,,Present,1990,,Motorola,,1990.0
4,880.0,,12,1999,,Eberhard-Karls-UniversitÃ¤t TÃ¼bingen,7.0,1991.0
0,881.0,,Present,2006,,Kendle International,,2002.0
1,881.0,,Present,2007,,Premier Research Group,,2006.0
2,881.0,,Present,2011,,PRS Clinical,,2007.0
3,881.0,,Present,2012,"Holly Ridge, NC",PRA International,,2011.0
4,881.0,,Present,Present,"Holly Ridge, NC",CTI Clinical Trials and Consulting,,2012.0
0,882.0,,Present,Present,"London, United Kingdom",Vodafone,4.0,2014.0
1,882.0,,10,2011,,Ipsos MORI,11.0,2009.0
2,882.0,,10,2009,,Tube Lines,10.0,2005.0
3,882.0,,3,2014,"London, United Kingdom",Nickelodeon / Comedy Central,10.0,2011.0
0,883.0,,Present,Present,Greater New York City Area,Architizer,3.0,2016.0
1,883.0,,2,2013,Greater New York City Area,Drum Guru,12.0,2012.0
2,883.0,,3,2013,Greater New York City Area,"Hudson Music, LLC",4.0,2011.0
3,883.0,,4,2015,Greater New York City Area,OpenAsset,10.0,2011.0
4,883.0,,3,2016,Greater New York City Area,SinglePlatform,4.0,2015.0
0,884.0,,Present,Present,"Redmond, WA",Microsoft,5.0,2011.0
1,884.0,,5,2010,,Wells Fargo & Co,12.0,2008.0
2,884.0,,5,2011,"Bloomington, Indiana Area",Indiana University Bloomington,1.0,2011.0
3,884.0,,8,2006,,"Honeywell Technology Solutions, Inc.",6.0,2005.0
4,884.0,,12,2008,,AT&T Wireless,11.0,2007.0
0,885.0,,6,2015,"Austin, TX",Self-employed,7.0,2013.0
1,885.0,,7,2010,"Austin, Texas Area",Enfatico (Y&R),9.0,2008.0
2,885.0,,Present,Present,"Austin, Texas Area",IBM,6.0,2015.0
3,885.0,,7,2013,"Austin, Texas Area",SolarWinds,8.0,2011.0
4,885.0,,7,2011,"Austin, Texas Area",PointServe,7.0,2010.0
0,887.0,,4,2016,Andover,Personnel Selection,1.0,2015.0
1,887.0,,2,2017,Winchester,Manpower,5.0,2016.0
2,887.0,,12,2014,Winchester,Manpower UK,7.0,2013.0
3,887.0,,Present,Present,Winchester,Ernest & Nicholson Recruitment Ltd,2.0,2017.0
4,887.0,,2,2013,Basingstoke,Great Guns Marketing,12.0,2011.0
0,889.0,,Present,Present,San Francisco Bay Area,Xavient Information Systems,4.0,2016.0
